no,wavpath,transcript
1,new_dataset/M/TEST_M_11.wav,M
2,new_dataset/M/TEST_M_14.wav,M
3,new_dataset/M/TEST_M_1.wav,M
4,new_dataset/M/TEST_M_9.wav,M
5,new_dataset/M/TEST_M_3.wav,M
6,new_dataset/M/TEST_M_4.wav,M
7,new_dataset/M/TEST_M_6.wav,M
8,new_dataset/M/TEST_M_12.wav,M
9,new_dataset/M/TEST_M_10.wav,M
10,new_dataset/M/TEST_M_15.wav,M
11,new_dataset/M/TEST_M_13.wav,M
12,new_dataset/M/TEST_M_7.wav,M
13,new_dataset/M/TEST_M_8.wav,M
14,new_dataset/M/TEST_M_0.wav,M
15,new_dataset/M/TEST_M_2.wav,M
16,new_dataset/M/TEST_M_5.wav,M
17,new_dataset/R/TEST_R_4.wav,R
18,new_dataset/R/TEST_R_11.wav,R
19,new_dataset/R/TEST_R_1.wav,R
20,new_dataset/R/TEST_R_0.wav,R
21,new_dataset/R/TEST_R_14.wav,R
22,new_dataset/R/TEST_R_3.wav,R
23,new_dataset/R/TEST_R_12.wav,R
24,new_dataset/R/TEST_R_9.wav,R
25,new_dataset/R/TEST_R_10.wav,R
26,new_dataset/R/TEST_R_2.wav,R
27,new_dataset/R/TEST_R_13.wav,R
28,new_dataset/R/TEST_R_5.wav,R
29,new_dataset/R/TEST_R_6.wav,R
30,new_dataset/R/TEST_R_7.wav,R
31,new_dataset/R/TEST_R_8.wav,R
32,new_dataset/R/TEST_R_15.wav,R
33,new_dataset/L/TEST_L_4.wav,L
34,new_dataset/L/TEST_L_14.wav,L
35,new_dataset/L/TEST_L_0.wav,L
36,new_dataset/L/TEST_L_9.wav,L
37,new_dataset/L/TEST_L_6.wav,L
38,new_dataset/L/TEST_L_11.wav,L
39,new_dataset/L/TEST_L_10.wav,L
40,new_dataset/L/TEST_L_12.wav,L
41,new_dataset/L/TEST_L_7.wav,L
42,new_dataset/L/TEST_L_1.wav,L
43,new_dataset/L/TEST_L_15.wav,L
44,new_dataset/L/TEST_L_8.wav,L
45,new_dataset/L/TEST_L_13.wav,L
46,new_dataset/L/TEST_L_2.wav,L
47,new_dataset/L/TEST_L_5.wav,L
48,new_dataset/L/TEST_L_3.wav,L
49,new_dataset/Q/TEST_Q_2.wav,Q
50,new_dataset/Q/TEST_Q_6.wav,Q
51,new_dataset/Q/TEST_Q_10.wav,Q
52,new_dataset/Q/TEST_Q_0.wav,Q
53,new_dataset/Q/TEST_Q_15.wav,Q
54,new_dataset/Q/TEST_Q_13.wav,Q
55,new_dataset/Q/TEST_Q_9.wav,Q
56,new_dataset/Q/TEST_Q_8.wav,Q
57,new_dataset/Q/TEST_Q_12.wav,Q
58,new_dataset/Q/TEST_Q_7.wav,Q
59,new_dataset/Q/TEST_Q_5.wav,Q
60,new_dataset/Q/TEST_Q_3.wav,Q
61,new_dataset/Q/TEST_Q_1.wav,Q
62,new_dataset/Q/TEST_Q_11.wav,Q
63,new_dataset/Q/TEST_Q_4.wav,Q
64,new_dataset/Q/TEST_Q_14.wav,Q
65,new_dataset/V/TEST_V_5.wav,V
66,new_dataset/V/TEST_V_4.wav,V
67,new_dataset/V/TEST_V_11.wav,V
68,new_dataset/V/TEST_V_0.wav,V
69,new_dataset/V/TEST_V_12.wav,V
70,new_dataset/V/TEST_V_3.wav,V
71,new_dataset/V/TEST_V_6.wav,V
72,new_dataset/V/TEST_V_9.wav,V
73,new_dataset/V/TEST_V_7.wav,V
74,new_dataset/V/TEST_V_10.wav,V
75,new_dataset/V/TEST_V_13.wav,V
76,new_dataset/V/TEST_V_2.wav,V
77,new_dataset/V/TEST_V_15.wav,V
78,new_dataset/V/TEST_V_1.wav,V
79,new_dataset/V/TEST_V_14.wav,V
80,new_dataset/V/TEST_V_8.wav,V
81,new_dataset/Y/TEST_Y_14.wav,Y
82,new_dataset/Y/TEST_Y_15.wav,Y
83,new_dataset/Y/TEST_Y_3.wav,Y
84,new_dataset/Y/TEST_Y_6.wav,Y
85,new_dataset/Y/TEST_Y_5.wav,Y
86,new_dataset/Y/TEST_Y_9.wav,Y
87,new_dataset/Y/TEST_Y_1.wav,Y
88,new_dataset/Y/TEST_Y_11.wav,Y
89,new_dataset/Y/TEST_Y_13.wav,Y
90,new_dataset/Y/TEST_Y_8.wav,Y
91,new_dataset/Y/TEST_Y_7.wav,Y
92,new_dataset/Y/TEST_Y_0.wav,Y
93,new_dataset/Y/TEST_Y_10.wav,Y
94,new_dataset/Y/TEST_Y_12.wav,Y
95,new_dataset/Y/TEST_Y_2.wav,Y
96,new_dataset/Y/TEST_Y_4.wav,Y
97,new_dataset/Z/TEST_Z_14.wav,Z
98,new_dataset/Z/TEST_Z_13.wav,Z
99,new_dataset/Z/TEST_Z_15.wav,Z
100,new_dataset/Z/TEST_Z_0.wav,Z
101,new_dataset/Z/TEST_Z_4.wav,Z
102,new_dataset/Z/TEST_Z_11.wav,Z
103,new_dataset/Z/TEST_Z_12.wav,Z
104,new_dataset/Z/TEST_Z_9.wav,Z
105,new_dataset/Z/TEST_Z_5.wav,Z
106,new_dataset/Z/TEST_Z_7.wav,Z
107,new_dataset/Z/TEST_Z_8.wav,Z
108,new_dataset/Z/TEST_Z_2.wav,Z
109,new_dataset/Z/TEST_Z_1.wav,Z
110,new_dataset/Z/TEST_Z_10.wav,Z
111,new_dataset/Z/TEST_Z_3.wav,Z
112,new_dataset/Z/TEST_Z_6.wav,Z
113,new_dataset/A/TEST_A_8.wav,A
114,new_dataset/A/TEST_A_14.wav,A
115,new_dataset/A/TEST_A_7.wav,A
116,new_dataset/A/TEST_A_5.wav,A
117,new_dataset/A/TEST_A_13.wav,A
118,new_dataset/A/TEST_A_1.wav,A
119,new_dataset/A/TEST_A_6.wav,A
120,new_dataset/A/TEST_A_15.wav,A
121,new_dataset/A/TEST_A_10.wav,A
122,new_dataset/A/TEST_A_4.wav,A
123,new_dataset/A/TEST_A_12.wav,A
124,new_dataset/A/TEST_A_2.wav,A
125,new_dataset/A/TEST_A_3.wav,A
126,new_dataset/A/TEST_A_11.wav,A
127,new_dataset/A/TEST_A_9.wav,A
128,new_dataset/A/TEST_A_0.wav,A
129,new_dataset/X/TEST_X_5.wav,X
130,new_dataset/X/TEST_X_12.wav,X
131,new_dataset/X/TEST_X_2.wav,X
132,new_dataset/X/TEST_X_4.wav,X
133,new_dataset/X/TEST_X_0.wav,X
134,new_dataset/X/TEST_X_9.wav,X
135,new_dataset/X/TEST_X_13.wav,X
136,new_dataset/X/TEST_X_15.wav,X
137,new_dataset/X/TEST_X_6.wav,X
138,new_dataset/X/TEST_X_3.wav,X
139,new_dataset/X/TEST_X_8.wav,X
140,new_dataset/X/TEST_X_10.wav,X
141,new_dataset/X/TEST_X_1.wav,X
142,new_dataset/X/TEST_X_14.wav,X
143,new_dataset/X/TEST_X_7.wav,X
144,new_dataset/X/TEST_X_11.wav,X
145,new_dataset/S/TEST_S_10.wav,S
146,new_dataset/S/TEST_S_12.wav,S
147,new_dataset/S/TEST_S_7.wav,S
148,new_dataset/S/TEST_S_4.wav,S
149,new_dataset/S/TEST_S_15.wav,S
150,new_dataset/S/TEST_S_6.wav,S
151,new_dataset/S/TEST_S_5.wav,S
152,new_dataset/S/TEST_S_0.wav,S
153,new_dataset/S/TEST_S_1.wav,S
154,new_dataset/S/TEST_S_3.wav,S
155,new_dataset/S/TEST_S_2.wav,S
156,new_dataset/S/TEST_S_11.wav,S
157,new_dataset/S/TEST_S_13.wav,S
158,new_dataset/S/TEST_S_14.wav,S
159,new_dataset/S/TEST_S_8.wav,S
160,new_dataset/S/TEST_S_9.wav,S
161,new_dataset/T/TEST_T_5.wav,T
162,new_dataset/T/TEST_T_0.wav,T
163,new_dataset/T/TEST_T_9.wav,T
164,new_dataset/T/TEST_T_12.wav,T
165,new_dataset/T/TEST_T_10.wav,T
166,new_dataset/T/TEST_T_6.wav,T
167,new_dataset/T/TEST_T_14.wav,T
168,new_dataset/T/TEST_T_4.wav,T
169,new_dataset/T/TEST_T_15.wav,T
170,new_dataset/T/TEST_T_7.wav,T
171,new_dataset/T/TEST_T_13.wav,T
172,new_dataset/T/TEST_T_11.wav,T
173,new_dataset/T/TEST_T_1.wav,T
174,new_dataset/T/TEST_T_3.wav,T
175,new_dataset/T/TEST_T_8.wav,T
176,new_dataset/T/TEST_T_2.wav,T
177,new_dataset/E/TEST_E_7.wav,E
178,new_dataset/E/TEST_E_6.wav,E
179,new_dataset/E/TEST_E_12.wav,E
180,new_dataset/E/TEST_E_1.wav,E
181,new_dataset/E/TEST_E_10.wav,E
182,new_dataset/E/TEST_E_13.wav,E
183,new_dataset/E/TEST_E_0.wav,E
184,new_dataset/E/TEST_E_14.wav,E
185,new_dataset/E/TEST_E_11.wav,E
186,new_dataset/E/TEST_E_8.wav,E
187,new_dataset/E/TEST_E_9.wav,E
188,new_dataset/E/TEST_E_2.wav,E
189,new_dataset/E/TEST_E_3.wav,E
190,new_dataset/E/TEST_E_4.wav,E
191,new_dataset/E/TEST_E_5.wav,E
192,new_dataset/E/TEST_E_15.wav,E
193,new_dataset/B/TEST_B_2.wav,B
194,new_dataset/B/TEST_B_1.wav,B
195,new_dataset/B/TEST_B_5.wav,B
196,new_dataset/B/TEST_B_8.wav,B
197,new_dataset/B/TEST_B_7.wav,B
198,new_dataset/B/TEST_B_14.wav,B
199,new_dataset/B/TEST_B_13.wav,B
200,new_dataset/B/TEST_B_4.wav,B
201,new_dataset/B/TEST_B_9.wav,B
202,new_dataset/B/TEST_B_0.wav,B
203,new_dataset/B/TEST_B_6.wav,B
204,new_dataset/B/TEST_B_12.wav,B
205,new_dataset/B/TEST_B_11.wav,B
206,new_dataset/B/TEST_B_3.wav,B
207,new_dataset/B/TEST_B_10.wav,B
208,new_dataset/B/TEST_B_15.wav,B
209,new_dataset/N/TEST_N_2.wav,N
210,new_dataset/N/TEST_N_8.wav,N
211,new_dataset/N/TEST_N_9.wav,N
212,new_dataset/N/TEST_N_15.wav,N
213,new_dataset/N/TEST_N_0.wav,N
214,new_dataset/N/TEST_N_6.wav,N
215,new_dataset/N/TEST_N_5.wav,N
216,new_dataset/N/TEST_N_4.wav,N
217,new_dataset/N/TEST_N_13.wav,N
218,new_dataset/N/TEST_N_10.wav,N
219,new_dataset/N/TEST_N_1.wav,N
220,new_dataset/N/TEST_N_14.wav,N
221,new_dataset/N/TEST_N_3.wav,N
222,new_dataset/N/TEST_N_7.wav,N
223,new_dataset/N/TEST_N_12.wav,N
224,new_dataset/N/TEST_N_11.wav,N
225,new_dataset/H/TEST_H_5.wav,H
226,new_dataset/H/TEST_H_14.wav,H
227,new_dataset/H/TEST_H_9.wav,H
228,new_dataset/H/TEST_H_0.wav,H
229,new_dataset/H/TEST_H_12.wav,H
230,new_dataset/H/TEST_H_11.wav,H
231,new_dataset/H/TEST_H_15.wav,H
232,new_dataset/H/TEST_H_8.wav,H
233,new_dataset/H/TEST_H_6.wav,H
234,new_dataset/H/TEST_H_13.wav,H
235,new_dataset/H/TEST_H_4.wav,H
236,new_dataset/H/TEST_H_7.wav,H
237,new_dataset/H/TEST_H_3.wav,H
238,new_dataset/H/TEST_H_2.wav,H
239,new_dataset/H/TEST_H_10.wav,H
240,new_dataset/H/TEST_H_1.wav,H
241,new_dataset/I/TEST_I_8.wav,I
242,new_dataset/I/TEST_I_11.wav,I
243,new_dataset/I/TEST_I_3.wav,I
244,new_dataset/I/TEST_I_1.wav,I
245,new_dataset/I/TEST_I_14.wav,I
246,new_dataset/I/TEST_I_4.wav,I
247,new_dataset/I/TEST_I_6.wav,I
248,new_dataset/I/TEST_I_2.wav,I
249,new_dataset/I/TEST_I_0.wav,I
250,new_dataset/I/TEST_I_15.wav,I
251,new_dataset/I/TEST_I_10.wav,I
252,new_dataset/I/TEST_I_12.wav,I
253,new_dataset/I/TEST_I_13.wav,I
254,new_dataset/I/TEST_I_9.wav,I
255,new_dataset/I/TEST_I_7.wav,I
256,new_dataset/I/TEST_I_5.wav,I
257,new_dataset/K/TEST_K_5.wav,K
258,new_dataset/K/TEST_K_2.wav,K
259,new_dataset/K/TEST_K_1.wav,K
260,new_dataset/K/TEST_K_12.wav,K
261,new_dataset/K/TEST_K_9.wav,K
262,new_dataset/K/TEST_K_8.wav,K
263,new_dataset/K/TEST_K_0.wav,K
264,new_dataset/K/TEST_K_3.wav,K
265,new_dataset/K/TEST_K_6.wav,K
266,new_dataset/K/TEST_K_14.wav,K
267,new_dataset/K/TEST_K_11.wav,K
268,new_dataset/K/TEST_K_15.wav,K
269,new_dataset/K/TEST_K_10.wav,K
270,new_dataset/K/TEST_K_4.wav,K
271,new_dataset/K/TEST_K_13.wav,K
272,new_dataset/K/TEST_K_7.wav,K
273,new_dataset/O/TEST_O_4.wav,O
274,new_dataset/O/TEST_O_8.wav,O
275,new_dataset/O/TEST_O_3.wav,O
276,new_dataset/O/TEST_O_5.wav,O
277,new_dataset/O/TEST_O_13.wav,O
278,new_dataset/O/TEST_O_1.wav,O
279,new_dataset/O/TEST_O_14.wav,O
280,new_dataset/O/TEST_O_11.wav,O
281,new_dataset/O/TEST_O_2.wav,O
282,new_dataset/O/TEST_O_6.wav,O
283,new_dataset/O/TEST_O_9.wav,O
284,new_dataset/O/TEST_O_12.wav,O
285,new_dataset/O/TEST_O_0.wav,O
286,new_dataset/O/TEST_O_10.wav,O
287,new_dataset/O/TEST_O_15.wav,O
288,new_dataset/O/TEST_O_7.wav,O
289,new_dataset/J/TEST_J_10.wav,J
290,new_dataset/J/TEST_J_7.wav,J
291,new_dataset/J/TEST_J_0.wav,J
292,new_dataset/J/TEST_J_1.wav,J
293,new_dataset/J/TEST_J_5.wav,J
294,new_dataset/J/TEST_J_11.wav,J
295,new_dataset/J/TEST_J_2.wav,J
296,new_dataset/J/TEST_J_4.wav,J
297,new_dataset/J/TEST_J_13.wav,J
298,new_dataset/J/TEST_J_12.wav,J
299,new_dataset/J/TEST_J_9.wav,J
300,new_dataset/J/TEST_J_8.wav,J
301,new_dataset/J/TEST_J_6.wav,J
302,new_dataset/J/TEST_J_14.wav,J
303,new_dataset/J/TEST_J_3.wav,J
304,new_dataset/J/TEST_J_15.wav,J
305,new_dataset/C/TEST_C_11.wav,C
306,new_dataset/C/TEST_C_8.wav,C
307,new_dataset/C/TEST_C_4.wav,C
308,new_dataset/C/TEST_C_15.wav,C
309,new_dataset/C/TEST_C_7.wav,C
310,new_dataset/C/TEST_C_6.wav,C
311,new_dataset/C/TEST_C_5.wav,C
312,new_dataset/C/TEST_C_3.wav,C
313,new_dataset/C/TEST_C_1.wav,C
314,new_dataset/C/TEST_C_12.wav,C
315,new_dataset/C/TEST_C_14.wav,C
316,new_dataset/C/TEST_C_13.wav,C
317,new_dataset/C/TEST_C_0.wav,C
318,new_dataset/C/TEST_C_2.wav,C
319,new_dataset/C/TEST_C_9.wav,C
320,new_dataset/C/TEST_C_10.wav,C
321,new_dataset/P/TEST_P_5.wav,P
322,new_dataset/P/TEST_P_1.wav,P
323,new_dataset/P/TEST_P_8.wav,P
324,new_dataset/P/TEST_P_3.wav,P
325,new_dataset/P/TEST_P_14.wav,P
326,new_dataset/P/TEST_P_11.wav,P
327,new_dataset/P/TEST_P_7.wav,P
328,new_dataset/P/TEST_P_10.wav,P
329,new_dataset/P/TEST_P_9.wav,P
330,new_dataset/P/TEST_P_15.wav,P
331,new_dataset/P/TEST_P_12.wav,P
332,new_dataset/P/TEST_P_4.wav,P
333,new_dataset/P/TEST_P_6.wav,P
334,new_dataset/P/TEST_P_13.wav,P
335,new_dataset/P/TEST_P_2.wav,P
336,new_dataset/P/TEST_P_0.wav,P
337,new_dataset/G/TEST_G_3.wav,G
338,new_dataset/G/TEST_G_5.wav,G
339,new_dataset/G/TEST_G_14.wav,G
340,new_dataset/G/TEST_G_15.wav,G
341,new_dataset/G/TEST_G_12.wav,G
342,new_dataset/G/TEST_G_13.wav,G
343,new_dataset/G/TEST_G_1.wav,G
344,new_dataset/G/TEST_G_0.wav,G
345,new_dataset/G/TEST_G_8.wav,G
346,new_dataset/G/TEST_G_2.wav,G
347,new_dataset/G/TEST_G_4.wav,G
348,new_dataset/G/TEST_G_11.wav,G
349,new_dataset/G/TEST_G_9.wav,G
350,new_dataset/G/TEST_G_7.wav,G
351,new_dataset/G/TEST_G_6.wav,G
352,new_dataset/G/TEST_G_10.wav,G
353,new_dataset/D/TEST_D_10.wav,D
354,new_dataset/D/TEST_D_11.wav,D
355,new_dataset/D/TEST_D_4.wav,D
356,new_dataset/D/TEST_D_1.wav,D
